Shipment_ID,Date,Region,Transport_Mode,Priority,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transport_Cost,Handling_Cost,Total_Cost,Fuel_Cost,On_Time,Weather_Delay_days
S0001,2025-01-01 00:00:00,West,Road,Standard,410.13,661.8,17.8,230.7,358.64,589.34,134.64,1,1
S0002,2025-01-01 12:00:00,South,Road,Express,333.72,701.8,17.33,199.09,277.42,476.51,128.91,1,0
S0003,2025-01-02 00:00:00,West,Rail,Express,227.64,48.2,0.89,6.03,239.51,245.55,3.9,1,0
S0004,2025-01-02 12:00:00,East,Rail,Express,283.55,1177.7,21.54,183.67,324.84,508.5,126.39,1,0
S0005,2025-01-03 00:00:00,North,Road,Express,204.57,1495.1,37.71,259.99,274.56,534.55,179.4,0,1
S0006,2025-01-03 12:00:00,West,Road,Standard,398.57,811.9,20.6,275.06,273.24,548.3,192.1,1,0
S0007,2025-01-04 00:00:00,West,Road,Standard,142.17,606.9,19.41,73.34,271.74,345.07,52.11,1,3
S0008,2025-01-04 12:00:00,West,Road,Standard,661.08,613.4,16.25,344.69,527.07,871.76,197.77,1,1
S0009,2025-01-05 00:00:00,North,Road,Standard,596.47,180.3,6.08,91.4,441.2,532.59,56.68,1,0
S0010,2025-01-05 12:00:00,South,Road,Express,414.83,428.6,9.12,151.13,294.53,445.66,83.72,1,0
S0011,2025-01-06 00:00:00,South,Rail,Standard,510.52,773.1,15.06,217.08,448.22,665.29,142.09,1,0
S0012,2025-01-06 12:00:00,West,Rail,Express,494.31,670.5,13.16,182.29,413.31,595.6,118.26,1,0
S0013,2025-01-07 00:00:00,East,Road,Standard,361.38,835.8,19.62,256.72,253.16,509.88,184.56,1,0
S0014,2025-01-07 12:00:00,West,Road,Standard,307.26,1279.6,31.77,334.21,278.55,612.76,196.66,0,1
S0015,2025-01-08 00:00:00,South,Road,Standard,290.29,368.9,10.44,91.01,420.34,511.35,63.28,1,0
S0016,2025-01-08 12:00:00,North,Road,Standard,672.81,80.4,3.21,45.97,490.79,536.76,28.53,1,0
S0017,2025-01-09 00:00:00,East,Road,Standard,223.5,95.8,2.13,18.2,209.54,227.74,11.61,1,0
S0018,2025-01-09 12:00:00,North,Road,Standard,225.74,235.9,7.3,45.26,198.78,244.04,32.38,1,0
S0019,2025-01-10 00:00:00,West,Rail,Standard,532.03,872.9,19.82,255.43,492.36,747.79,144.69,1,2
S0020,2025-01-10 12:00:00,East,Road,Express,508.17,1219.9,30.88,526.95,437.64,964.6,331.37,0,0
S0021,2025-01-11 00:00:00,West,Road,Standard,298.49,1334.7,33.46,338.64,347.5,686.14,216.73,0,0
S0022,2025-01-11 12:00:00,South,Road,Standard,436.16,967.3,26.27,358.6,371.06,729.65,256.26,0,1
S0023,2025-01-12 00:00:00,West,Air,Express,463.69,628.6,2.15,903.56,431.46,1335.02,538.36,1,1
S0024,2025-01-12 12:00:00,West,Rail,Standard,168.67,265.6,5.66,24.64,174.59,199.23,18.92,1,0
S0025,2025-01-13 00:00:00,West,Road,Express,614.88,626.1,15.34,327.21,465.5,792.71,255.06,1,0
S0026,2025-01-13 12:00:00,North,Air,Standard,463.61,525.3,3.83,755.0,387.9,1142.9,557.45,1,0
S0027,2025-01-14 00:00:00,South,Road,Standard,418.53,1310.2,33.03,466.12,412.4,878.52,288.5,0,0
S0028,2025-01-14 12:00:00,North,Road,Standard,465.33,750.6,18.34,296.89,390.28,687.17,208.62,1,0
S0029,2025-01-15 00:00:00,North,Air,Standard,394.61,370.2,1.7,452.92,308.89,761.81,257.77,1,0
S0030,2025-01-15 12:00:00,East,Road,Express,324.4,461.6,13.08,127.29,301.3,428.6,95.52,1,2
S0031,2025-01-16 00:00:00,East,Road,Express,113.57,239.2,5.38,23.1,107.03,130.12,15.44,1,0
S0032,2025-01-16 12:00:00,West,Road,Standard,362.94,1381.1,35.54,426.08,215.17,641.25,251.63,0,1
S0033,2025-01-17 00:00:00,South,Road,Standard,160.72,113.5,6.54,15.51,245.81,261.31,9.7,1,2
S0034,2025-01-17 12:00:00,South,Rail,Standard,799.93,58.8,3.95,25.85,543.1,568.95,18.98,1,0
S0035,2025-01-18 00:00:00,South,Road,Standard,321.74,307.2,8.67,84.0,285.19,369.19,63.01,1,0
S0036,2025-01-18 12:00:00,North,Road,Express,793.28,1223.9,30.41,825.25,593.7,1418.95,552.53,0,0
S0037,2025-01-19 00:00:00,North,Road,Standard,365.92,804.3,20.5,250.15,384.12,634.28,165.22,1,0
S0038,2025-01-19 12:00:00,South,Road,Standard,250.84,953.7,24.42,203.35,282.02,485.37,146.96,0,0
S0039,2025-01-20 00:00:00,North,Road,Standard,606.41,562.3,15.15,289.83,540.29,830.12,214.48,1,0
S0040,2025-01-20 12:00:00,East,Road,Express,410.45,140.3,3.28,48.94,368.37,417.3,35.52,1,0
S0041,2025-01-21 00:00:00,South,Air,Express,938.91,1290.0,5.27,3754.69,650.0,4404.69,2397.06,1,0
